cohort_type,cohort_month,dimension,first_value,m,metric,measure,cohort_size,ltv_per_user
purchase,2025-01-01,category,otc sk,0,same,gm,2,95.90848776589502
purchase,2025-01-01,category,otc sk,1,same,revenue,2,0.0
purchase,2025-01-01,category,otc sk,1,same,gm,2,0.0
purchase,2025-01-01,category,otc sk,2,same,revenue,2,122.3433243
purchase,2025-01-01,category,otc sk,2,same,gm,2,91.72079022771001
purchase,2025-01-01,category,otc sk,3,same,revenue,2,0.0
purchase,2025-01-01,category,otc sk,3,same,gm,2,0.0
purchase,2025-01-01,category,otc sk,4,same,revenue,2,0.0
purchase,2025-01-01,category,otc sk,4,same,gm,2,0.0
purchase,2025-01-01,category,otc sk,5,same,revenue,2,0.0
purchase,2025-01-01,category,otc sk,5,same,gm,2,0.0
purchase,2025-01-01,category,otc sk,6,same,revenue,2,0.0
purchase,2025-01-01,category,otc sk,6,same,gm,2,0.0
purchase,2025-01-01,category,otc sk,7,same,revenue,2,0.0
purchase,2025-01-01,category,otc sk,7,same,gm,2,0.0
purchase,2025-01-01,category,otc sk,8,same,revenue,2,0.0
purchase,2025-01-01,category,otc sk,8,same,gm,2,0.0
purchase,2025-01-01,category,"otc sk, pom sh",0,any,revenue,1,135.9673025
purchase,2025-01-01,category,"otc sk, pom sh",0,any,gm,1,22.189863768
purchase,2025-01-01,category,"otc sk, pom sh",1,any,revenue,1,0.0
purchase,2025-01-01,category,"otc sk, pom sh",1,any,gm,1,0.0
purchase,2025-01-01,category,"otc sk, pom sh",2,any,revenue,1,0.0
purchase,2025-01-01,category,"otc sk, pom sh",2,any,gm,1,0.0
purchase,2025-01-01,category,"otc sk, pom sh",3,any,revenue,1,0.0
purchase,2025-01-01,category,"otc sk, pom sh",3,any,gm,1,0.0
purchase,2025-01-01,category,"otc sk, pom sh",4,any,revenue,1,0.0
purchase,2025-01-01,category,"otc sk, pom sh",4,any,gm,1,0.0
purchase,2025-01-01,category,"otc sk, pom sh",5,any,revenue,1,0.0
purchase,2025-01-01,category,"otc sk, pom sh",5,any,gm,1,0.0
purchase,2025-01-01,category,"otc sk, pom sh",6,any,revenue,1,0.0
purchase,2025-01-01,category,"otc sk, pom sh",6,any,gm,1,0.0
purchase,2025-01-01,category,"otc sk, pom sh",7,any,revenue,1,241.94556339999997
purchase,2025-01-01,category,"otc sk, pom sh",7,any,gm,1,85.06676595997
purchase,2025-01-01,category,"otc sk, pom sh",8,any,revenue,1,0.0
purchase,2025-01-01,category,"otc sk, pom sh",8,any,gm,1,0.0
purchase,2025-01-01,category,"otc sk, pom sh",0,same,revenue,1,135.9673025
purchase,2025-01-01,category,"otc sk, pom sh",0,same,gm,1,22.189863768
purchase,2025-01-01,category,"otc sk, pom sh",1,same,revenue,1,0.0
purchase,2025-01-01,category,"otc sk, pom sh",1,same,gm,1,0.0
purchase,2025-01-01,category,"otc sk, pom sh",2,same,revenue,1,0.0
purchase,2025-01-01,category,"otc sk, pom sh",2,same,gm,1,0.0
purchase,2025-01-01,category,"otc sk, pom sh",3,same,revenue,1,0.0
purchase,2025-01-01,category,"otc sk, pom sh",3,same,gm,1,0.0
purchase,2025-01-01,category,"otc sk, pom sh",4,same,revenue,1,0.0
purchase,2025-01-01,category,"otc sk, pom sh",4,same,gm,1,0.0
purchase,2025-01-01,category,"otc sk, pom sh",5,same,revenue,1,0.0
purchase,2025-01-01,category,"otc sk, pom sh",5,same,gm,1,0.0
purchase,2025-01-01,category,"otc sk, pom sh",6,same,revenue,1,0.0
purchase,2025-01-01,category,"otc sk, pom sh",6,same,gm,1,0.0
purchase,2025-01-01,category,"otc sk, pom sh",7,same,revenue,1,0.0
purchase,2025-01-01,category,"otc sk, pom sh",7,same,gm,1,0.0
purchase,2025-01-01,category,"otc sk, pom sh",8,same,revenue,1,0.0
purchase,2025-01-01,category,"otc sk, pom sh",8,same,gm,1,0.0
purchase,2025-01-01,category,pom hl,0,any,revenue,5,170.408719348
